age,category,annual_income,is_bpl,state,eligible_schemes
29,SC,163890,False,Haryana,PMAY Housing;SC Scholarship
43,ST,20210,True,West Bengal,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
27,General,20366,True,Gujarat,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
60,ST,100331,False,Andhra Pradesh,Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
64,General(EWS),34370,False,Bihar,Ayushman Bharat;Bihar/Jharkhand Rural Support Scheme;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
75,ST,294203,False,Andhra Pradesh,Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
65,General(EWS),347881,False,Odisha,Ayushman Bharat;Old Age Pension;Senior Citizen Bus Pass
24,General,79580,False,Rajasthan,Ayushman Bharat;PMAY Housing
28,OBC,221017,False,Gujarat,OBC Scholarship;PMAY Housing
46,OBC,338780,False,Karnataka,South India Welfare Scheme
74,General,44645,False,Maharashtra,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
31,General(EWS),96198,False,Haryana,Ayushman Bharat;PMAY Housing
42,General(EWS),30008,False,Rajasthan,Ayushman Bharat;PMAY Housing
79,General,57105,False,Karnataka,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass;South India Welfare Scheme
53,SC,173709,False,Karnataka,PMAY Housing;South India Welfare Scheme
66,OBC,13701,True,West Bengal,Ayushman Bharat;BPL Ration Card Benefits;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
38,General,68633,False,Andhra Pradesh,Ayushman Bharat;PMAY Housing
27,General(EWS),39242,False,Karnataka,Ayushman Bharat;PMAY Housing;South India Welfare Scheme
30,General(EWS),39040,False,Bihar,Ayushman Bharat;Bihar/Jharkhand Rural Support Scheme;PMAY Housing
61,ST,23817,True,Rajasthan,Ayushman Bharat;BPL Ration Card Benefits;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
51,OBC,60057,False,Gujarat,Ayushman Bharat;PMAY Housing
48,General,251489,False,Uttar Pradesh,PMAY Housing
62,ST,355317,False,Telangana,Old Age Pension;Senior Citizen Bus Pass
62,OBC,305512,False,Uttar Pradesh,Old Age Pension;Senior Citizen Bus Pass
33,SC,413925,False,Karnataka,South India Welfare Scheme
20,OBC,569385,False,Rajasthan,OBC Scholarship
21,ST,312707,False,Bihar,Bihar/Jharkhand Rural Support Scheme;ST Scholarship
51,SC,140753,False,Rajasthan,PMAY Housing
20,General,408580,False,Uttar Pradesh,None
54,SC,118781,False,Gujarat,PMAY Housing
24,ST,286548,False,Odisha,PMAY Housing;ST Scholarship
19,General,75292,False,Odisha,Ayushman Bharat;PMAY Housing
49,General(EWS),17433,True,Bihar,Ayushman Bharat;BPL Ration Card Benefits;Bihar/Jharkhand Rural Support Scheme;PMAY Housing
38,ST,29355,False,Punjab,Ayushman Bharat;PMAY Housing
49,OBC,282628,False,Rajasthan,PMAY Housing
33,General(EWS),593944,False,Haryana,Ayushman Bharat
78,SC,296317,False,Uttar Pradesh,Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
19,General(EWS),16035,True,Maharashtra,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
29,General(EWS),29291,False,Kerala,Ayushman Bharat;PMAY Housing;South India Welfare Scheme
59,General(EWS),16478,True,Bihar,Ayushman Bharat;BPL Ration Card Benefits;Bihar/Jharkhand Rural Support Scheme;PMAY Housing
49,ST,20615,True,Rajasthan,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
77,SC,210506,False,Odisha,Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
31,SC,75287,False,Punjab,Ayushman Bharat;PMAY Housing
20,OBC,20451,True,Tamil Nadu,Ayushman Bharat;BPL Ration Card Benefits;OBC Scholarship;PMAY Housing
32,General(EWS),47030,False,Bihar,Ayushman Bharat;Bihar/Jharkhand Rural Support Scheme;PMAY Housing
41,ST,264108,False,Madhya Pradesh,PMAY Housing
41,OBC,16859,True,Andhra Pradesh,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
48,General(EWS),239490,False,Andhra Pradesh,Ayushman Bharat;PMAY Housing
52,SC,138563,False,Telangana,PMAY Housing
61,ST,179314,False,Punjab,Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
40,ST,22850,True,Rajasthan,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
63,SC,21456,True,Gujarat,Ayushman Bharat;BPL Ration Card Benefits;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
66,General(EWS),80445,False,Karnataka,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass;South India Welfare Scheme
34,ST,180099,False,Uttar Pradesh,PMAY Housing
60,General,11402,True,Maharashtra,Ayushman Bharat;BPL Ration Card Benefits;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
72,General,10387,True,Karnataka,Ayushman Bharat;BPL Ration Card Benefits;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass;South India Welfare Scheme
23,General(EWS),187634,False,Bihar,Ayushman Bharat;Bihar/Jharkhand Rural Support Scheme;PMAY Housing
58,General,18834,True,Andhra Pradesh,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
74,General(EWS),68885,False,Jharkhand,Ayushman Bharat;Bihar/Jharkhand Rural Support Scheme;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
71,General,524168,False,Andhra Pradesh,Old Age Pension;Senior Citizen Bus Pass
54,General,271595,False,Uttar Pradesh,PMAY Housing
31,SC,20102,True,Telangana,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
27,General(EWS),173643,False,Karnataka,Ayushman Bharat;PMAY Housing;South India Welfare Scheme
46,General(EWS),45342,False,Tamil Nadu,Ayushman Bharat;PMAY Housing
38,General,200750,False,Haryana,PMAY Housing
73,SC,293046,False,Madhya Pradesh,Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
47,General(EWS),285573,False,Telangana,Ayushman Bharat;PMAY Housing
42,SC,170981,False,Odisha,PMAY Housing
46,ST,261076,False,Rajasthan,PMAY Housing
59,OBC,439359,False,Kerala,South India Welfare Scheme
36,SC,48264,False,Gujarat,Ayushman Bharat;PMAY Housing
23,General(EWS),60849,False,Rajasthan,Ayushman Bharat;PMAY Housing
19,General,172410,False,Tamil Nadu,PMAY Housing
53,ST,533287,False,Kerala,South India Welfare Scheme
29,SC,24197,True,Karnataka,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing;SC Scholarship;South India Welfare Scheme
33,ST,414308,False,Bihar,Bihar/Jharkhand Rural Support Scheme
61,General(EWS),207971,False,Kerala,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass;South India Welfare Scheme
19,ST,345841,False,Telangana,ST Scholarship
38,General,378530,False,Bihar,Bihar/Jharkhand Rural Support Scheme
22,ST,24335,True,Haryana,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing;ST Scholarship
68,SC,34980,False,Tamil Nadu,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
77,ST,17796,True,Andhra Pradesh,Ayushman Bharat;BPL Ration Card Benefits;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
19,General(EWS),16722,True,Tamil Nadu,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
45,General(EWS),99319,False,Gujarat,Ayushman Bharat;PMAY Housing
57,SC,36262,False,Maharashtra,Ayushman Bharat;PMAY Housing
59,General(EWS),397518,False,Jharkhand,Ayushman Bharat;Bihar/Jharkhand Rural Support Scheme
53,SC,420613,False,Rajasthan,None
74,ST,11531,True,Karnataka,Ayushman Bharat;BPL Ration Card Benefits;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass;South India Welfare Scheme
57,ST,23732,True,Bihar,Ayushman Bharat;BPL Ration Card Benefits;Bihar/Jharkhand Rural Support Scheme;PMAY Housing
57,ST,139912,False,Madhya Pradesh,PMAY Housing
37,General,366762,False,Jharkhand,Bihar/Jharkhand Rural Support Scheme
72,General(EWS),31547,False,Andhra Pradesh,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
33,OBC,255803,False,West Bengal,PMAY Housing
38,General(EWS),197889,False,Rajasthan,Ayushman Bharat;PMAY Housing
45,General,262496,False,Madhya Pradesh,PMAY Housing
35,General(EWS),19684,True,Rajasthan,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
21,General,11312,True,Gujarat,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
20,ST,56386,False,Telangana,Ayushman Bharat;PMAY Housing;ST Scholarship
49,OBC,12015,True,Gujarat,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
70,ST,495040,False,Haryana,Old Age Pension;Senior Citizen Bus Pass
55,ST,44520,False,Karnataka,Ayushman Bharat;PMAY Housing;South India Welfare Scheme
53,OBC,419628,False,Telangana,None
54,SC,38237,False,Madhya Pradesh,Ayushman Bharat;PMAY Housing
29,ST,580593,False,Maharashtra,ST Scholarship
65,General,78172,False,Tamil Nadu,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
71,OBC,365575,False,Andhra Pradesh,Old Age Pension;Senior Citizen Bus Pass
28,SC,143764,False,Rajasthan,PMAY Housing;SC Scholarship
35,General,420905,False,Kerala,South India Welfare Scheme
72,SC,19451,True,Tamil Nadu,Ayushman Bharat;BPL Ration Card Benefits;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
61,OBC,15187,True,Karnataka,Ayushman Bharat;BPL Ration Card Benefits;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass;South India Welfare Scheme
76,ST,506185,False,West Bengal,Old Age Pension;Senior Citizen Bus Pass
26,OBC,322552,False,Telangana,OBC Scholarship
60,SC,205032,False,Andhra Pradesh,Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
73,ST,207460,False,Odisha,Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
48,General(EWS),590928,False,Odisha,Ayushman Bharat
22,OBC,170489,False,Punjab,OBC Scholarship;PMAY Housing
73,General,272562,False,Jharkhand,Bihar/Jharkhand Rural Support Scheme;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
45,ST,18952,True,Rajasthan,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
53,General,27590,False,Punjab,Ayushman Bharat;PMAY Housing
73,ST,12890,True,Haryana,Ayushman Bharat;BPL Ration Card Benefits;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
53,General,73428,False,Maharashtra,Ayushman Bharat;PMAY Housing
42,SC,336799,False,Telangana,None
28,ST,71529,False,Madhya Pradesh,Ayushman Bharat;PMAY Housing;ST Scholarship
31,OBC,77443,False,Punjab,Ayushman Bharat;PMAY Housing
64,OBC,341123,False,Bihar,Bihar/Jharkhand Rural Support Scheme;Old Age Pension;Senior Citizen Bus Pass
61,SC,355136,False,Tamil Nadu,Old Age Pension;Senior Citizen Bus Pass
62,General,127730,False,Odisha,Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
44,General,213889,False,Madhya Pradesh,PMAY Housing
76,General(EWS),408560,False,Kerala,Ayushman Bharat;Old Age Pension;Senior Citizen Bus Pass;South India Welfare Scheme
25,SC,91559,False,Madhya Pradesh,PMAY Housing;SC Scholarship
36,SC,66268,False,Odisha,Ayushman Bharat;PMAY Housing
51,ST,23869,True,Telangana,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
61,General,24586,True,Rajasthan,Ayushman Bharat;BPL Ration Card Benefits;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
47,General,67711,False,Bihar,Ayushman Bharat;Bihar/Jharkhand Rural Support Scheme;PMAY Housing
76,General(EWS),10545,True,Maharashtra,Ayushman Bharat;BPL Ration Card Benefits;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
41,ST,76605,False,Karnataka,Ayushman Bharat;PMAY Housing;South India Welfare Scheme
30,SC,73723,False,Telangana,Ayushman Bharat;PMAY Housing;SC Scholarship
72,OBC,18647,True,Andhra Pradesh,Ayushman Bharat;BPL Ration Card Benefits;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
62,OBC,59941,False,Telangana,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
65,SC,70896,False,West Bengal,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
67,OBC,278948,False,Karnataka,Old Age Pension;PMAY Housing;Senior Citizen Bus Pass;South India Welfare Scheme
21,ST,22147,True,Madhya Pradesh,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing;ST Scholarship
30,ST,23592,True,Kerala,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing;ST Scholarship;South India Welfare Scheme
47,SC,44627,False,Kerala,Ayushman Bharat;PMAY Housing;South India Welfare Scheme
61,OBC,81760,False,Odisha,Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
44,OBC,188901,False,Karnataka,PMAY Housing;South India Welfare Scheme
41,ST,260575,False,Gujarat,PMAY Housing
41,ST,550184,False,Bihar,Bihar/Jharkhand Rural Support Scheme
56,OBC,19952,True,Jharkhand,Ayushman Bharat;BPL Ration Card Benefits;Bihar/Jharkhand Rural Support Scheme;PMAY Housing
44,ST,22963,True,West Bengal,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
27,General,71982,False,Kerala,Ayushman Bharat;PMAY Housing;South India Welfare Scheme
79,General(EWS),191320,False,Odisha,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
31,General,299462,False,Bihar,Bihar/Jharkhand Rural Support Scheme;PMAY Housing
22,ST,29224,False,West Bengal,Ayushman Bharat;PMAY Housing;ST Scholarship
46,ST,24963,True,Jharkhand,Ayushman Bharat;BPL Ration Card Benefits;Bihar/Jharkhand Rural Support Scheme;PMAY Housing
24,SC,257329,False,Madhya Pradesh,PMAY Housing;SC Scholarship
41,General,583004,False,Haryana,None
72,OBC,17315,True,Odisha,Ayushman Bharat;BPL Ration Card Benefits;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
25,SC,226106,False,Jharkhand,Bihar/Jharkhand Rural Support Scheme;PMAY Housing;SC Scholarship
51,General,64258,False,Andhra Pradesh,Ayushman Bharat;PMAY Housing
29,General,447859,False,Haryana,None
32,General(EWS),19391,True,Jharkhand,Ayushman Bharat;BPL Ration Card Benefits;Bihar/Jharkhand Rural Support Scheme;PMAY Housing
46,SC,455025,False,Gujarat,None
27,SC,173766,False,Uttar Pradesh,PMAY Housing;SC Scholarship
23,General,173979,False,West Bengal,PMAY Housing
74,ST,38563,False,West Bengal,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
18,General,49621,False,Bihar,Ayushman Bharat;Bihar/Jharkhand Rural Support Scheme;PMAY Housing
27,SC,224207,False,West Bengal,PMAY Housing;SC Scholarship
18,OBC,63161,False,Telangana,Ayushman Bharat;OBC Scholarship;PMAY Housing
27,General(EWS),49702,False,Madhya Pradesh,Ayushman Bharat;PMAY Housing
60,General(EWS),332233,False,Andhra Pradesh,Ayushman Bharat;Old Age Pension;Senior Citizen Bus Pass
77,ST,11632,True,West Bengal,Ayushman Bharat;BPL Ration Card Benefits;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
42,General(EWS),26695,False,Bihar,Ayushman Bharat;Bihar/Jharkhand Rural Support Scheme;PMAY Housing
46,General(EWS),39570,False,Gujarat,Ayushman Bharat;PMAY Housing
30,General(EWS),195190,False,Haryana,Ayushman Bharat;PMAY Housing
48,ST,195509,False,Madhya Pradesh,PMAY Housing
64,SC,158183,False,Tamil Nadu,Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
28,ST,118429,False,Odisha,PMAY Housing;ST Scholarship
44,General(EWS),135895,False,Odisha,Ayushman Bharat;PMAY Housing
79,OBC,171605,False,West Bengal,Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
36,ST,18326,True,Madhya Pradesh,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
75,ST,404863,False,Uttar Pradesh,Old Age Pension;Senior Citizen Bus Pass
65,OBC,18941,True,Odisha,Ayushman Bharat;BPL Ration Card Benefits;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
37,General,428708,False,Odisha,None
45,ST,347254,False,Haryana,None
60,General(EWS),412643,False,Bihar,Ayushman Bharat;Bihar/Jharkhand Rural Support Scheme;Old Age Pension;Senior Citizen Bus Pass
71,ST,12333,True,West Bengal,Ayushman Bharat;BPL Ration Card Benefits;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
58,General(EWS),176980,False,Haryana,Ayushman Bharat;PMAY Housing
75,ST,68339,False,Madhya Pradesh,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
65,General,186300,False,Gujarat,Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
44,ST,238070,False,Haryana,PMAY Housing
41,General,510258,False,Jharkhand,Bihar/Jharkhand Rural Support Scheme
70,SC,125203,False,West Bengal,Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
23,SC,53860,False,Gujarat,Ayushman Bharat;PMAY Housing;SC Scholarship
46,OBC,186330,False,Punjab,PMAY Housing
33,ST,289706,False,Rajasthan,PMAY Housing
69,General,62721,False,Gujarat,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
21,General(EWS),22639,True,Andhra Pradesh,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
71,SC,98493,False,Telangana,Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
75,General(EWS),35980,False,Maharashtra,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
19,SC,58279,False,Uttar Pradesh,Ayushman Bharat;PMAY Housing;SC Scholarship
71,OBC,56911,False,Gujarat,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
56,ST,12053,True,Madhya Pradesh,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
55,SC,531933,False,Haryana,None
36,General(EWS),122553,False,Odisha,Ayushman Bharat;PMAY Housing
67,General(EWS),36547,False,Andhra Pradesh,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
64,General,182658,False,Madhya Pradesh,Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
31,General(EWS),81215,False,Rajasthan,Ayushman Bharat;PMAY Housing
61,General(EWS),279390,False,Bihar,Ayushman Bharat;Bihar/Jharkhand Rural Support Scheme;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
72,SC,34125,False,Punjab,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
79,ST,68918,False,Maharashtra,Ayushman Bharat;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
18,OBC,61326,False,Rajasthan,Ayushman Bharat;OBC Scholarship;PMAY Housing
21,SC,276952,False,Punjab,PMAY Housing;SC Scholarship
61,ST,307843,False,Telangana,Old Age Pension;Senior Citizen Bus Pass
18,OBC,267778,False,Andhra Pradesh,OBC Scholarship;PMAY Housing
52,OBC,352359,False,Karnataka,South India Welfare Scheme
31,SC,118530,False,Maharashtra,PMAY Housing
72,SC,16989,True,Bihar,Ayushman Bharat;BPL Ration Card Benefits;Bihar/Jharkhand Rural Support Scheme;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
22,General(EWS),235740,False,Madhya Pradesh,Ayushman Bharat;PMAY Housing
76,General(EWS),59795,False,Jharkhand,Ayushman Bharat;Bihar/Jharkhand Rural Support Scheme;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
38,General(EWS),108371,False,Telangana,Ayushman Bharat;PMAY Housing
27,OBC,218857,False,Karnataka,OBC Scholarship;PMAY Housing;South India Welfare Scheme
48,ST,245018,False,Odisha,PMAY Housing
46,General(EWS),282324,False,Maharashtra,Ayushman Bharat;PMAY Housing
45,General(EWS),14701,True,Rajasthan,Ayushman Bharat;BPL Ration Card Benefits;PMAY Housing
76,ST,262333,False,Gujarat,Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
69,SC,42159,False,Bihar,Ayushman Bharat;Bihar/Jharkhand Rural Support Scheme;Old Age Pension;PMAY Housing;Senior Citizen Bus Pass
